fold,partition,id
0,fit,S00403
0,fit,S00404
0,fit,S00405
0,fit,S00407
0,fit,S00408
0,fit,S00409
0,fit,S00410
0,fit,S00411
0,fit,S00413
0,fit,S00414
0,fit,S00415
0,fit,S00416
0,fit,S00419
0,fit,S00420
0,fit,S00421
0,fit,S00422
0,fit,S00423
0,fit,S00424
0,fit,S00425
0,fit,S00426
0,fit,S00428
0,fit,S00429
0,fit,S00430
0,fit,S00431
0,fit,S00432
0,fit,S00433
0,fit,S00435
0,fit,S00436
0,fit,S00438
0,fit,S00439
0,fit,S00440
0,fit,S00441
0,fit,S00442
0,fit,S00443
0,fit,S00444
0,fit,S00445
0,fit,S00446
0,fit,S00447
0,fit,S00448
0,fit,S00449
0,fit,S00450
0,fit,S00451
0,fit,S00452
0,fit,S00454
0,fit,S00455
0,fit,S00456
0,fit,S00457
0,fit,S00458
0,fit,S00459
0,fit,S00460
0,fit,S00461
0,fit,S00462
0,fit,S00464
0,fit,S00465
0,fit,S00466
0,fit,S00467
0,fit,S00468
0,fit,S00469
0,fit,S00470
0,fit,S00471
0,fit,S00472
0,fit,S00473
0,fit,S00474
0,fit,S00476
0,fit,S00478
0,fit,S00479
0,fit,S00480
0,fit,S00481
0,fit,S00483
0,fit,S00484
0,fit,S00485
0,fit,S00486
0,fit,S00488
0,fit,S00489
0,fit,S00490
0,fit,S00491
0,fit,S00493
0,fit,S00494
0,fit,S00495
0,fit,S00496
0,fit,S00497
0,fit,S00498
0,fit,S00499
0,fit,S00500
0,fit,S00502
0,fit,S00503
0,fit,S00504
0,fit,S00505
0,fit,S00506
0,fit,S00507
0,fit,S00508
0,fit,S00509
0,fit,S00511
0,fit,S00512
0,fit,S00513
0,fit,S00514
0,fit,S00515
0,fit,S00516
0,fit,S00517
0,fit,S00518
0,fit,S00521
0,fit,S00522
0,fit,S00523
0,fit,S00524
0,fit,S00525
0,fit,S00526
0,fit,S00528
0,fit,S00529
0,fit,S00530
0,fit,S00531
0,fit,S00532
0,fit,S00533
0,fit,S00534
0,fit,S00535
0,fit,S00537
0,fit,S00540
0,fit,S00542
0,fit,S00544
0,fit,S00545
0,fit,S00546
0,fit,S00547
0,fit,S00548
0,fit,S00549
0,fit,S00550
0,fit,S00552
0,fit,S00553
0,fit,S00554
0,fit,S00555
0,fit,S00556
0,fit,S00557
0,fit,S00558
0,fit,S00559
0,fit,S00560
0,fit,S00561
0,fit,S00562
0,fit,S00563
0,fit,S00564
0,fit,S00565
0,fit,S00566
0,fit,S00568
0,fit,S00569
0,fit,S00570
0,fit,S00571
0,fit,S00573
0,fit,S00574
0,fit,S00575
0,fit,S00576
0,fit,S00577
0,fit,S00578
0,fit,S00579
0,fit,S00580
0,fit,S00582
0,fit,S00583
0,fit,S00585
0,fit,S00586
0,fit,S00587
0,fit,S00588
0,fit,S00589
0,fit,S00590
0,fit,S00591
0,fit,S00592
0,fit,S00593
0,fit,S00594
0,fit,S00595
0,fit,S00596
0,fit,S00598
0,fit,S00599
0,fit,S00600
0,fit,S00601
0,fit,S00602
0,fit,S00603
0,fit,S00604
0,fit,S00605
0,fit,S00608
0,fit,S00609
0,fit,S00611
0,fit,S00612
0,fit,S00613
0,fit,S00615
0,fit,S00616
0,fit,S00617
0,fit,S00618
0,fit,S00619
0,fit,S00620
0,fit,S00622
0,fit,S00623
0,fit,S00624
0,fit,S00627
0,fit,S00629
0,fit,S00630
0,fit,S00631
0,fit,S00632
0,fit,S00633
0,fit,S00634
0,fit,S00635
0,fit,S00637
0,fit,S00638
0,fit,S00639
0,fit,S00640
0,fit,S00641
0,fit,S00642
0,fit,S00643
0,fit,S00644
0,fit,S00646
0,fit,S00647
0,fit,S00648
0,fit,S00649
0,fit,S00650
0,fit,S00651
0,fit,S00652
0,fit,S00653
0,fit,S00655
0,fit,S00656
0,fit,S00658
0,fit,S00659
0,fit,S00660
0,fit,S00661
0,fit,S00662
0,fit,S00663
0,fit,S00664
0,fit,S00665
0,fit,S00666
0,fit,S00667
0,fit,S00668
0,fit,S00669
0,fit,S00670
0,fit,S00672
0,fit,S00674
0,fit,S00676
0,fit,S00677
0,fit,S00678
0,fit,S00679
0,fit,S00681
0,fit,S00682
0,fit,S00684
0,fit,S00686
0,fit,S00687
0,fit,S00689
0,fit,S00690
0,fit,S00691
0,fit,S00692
0,fit,S00693
0,fit,S00694
0,fit,S00696
0,fit,S00697
0,fit,S00699
0,fit,S00700
0,fit,S00701
0,fit,S00702
0,fit,S00703
0,fit,S00704
0,fit,S00705
0,fit,S00706
0,fit,S00707
0,fit,S00708
0,fit,S00709
0,fit,S00712
0,fit,S00713
0,fit,S00714
0,fit,S00715
0,fit,S00716
0,fit,S00717
0,fit,S00718
0,fit,S00719
0,fit,S00720
0,fit,S00722
0,fit,S00723
0,fit,S00725
0,fit,S00726
0,fit,S00727
0,fit,S00728
0,fit,S00729
0,fit,S00730
0,fit,S00732
0,fit,S00733
0,fit,S00734
0,fit,S00735
0,fit,S00736
0,fit,S00737
0,fit,S00738
0,fit,S00739
0,fit,S00740
0,fit,S00741
0,fit,S00742
0,fit,S00743
0,fit,S00744
0,fit,S00745
0,fit,S00746
0,fit,S00748
0,fit,S00749
0,fit,S00751
0,fit,S00752
0,fit,S00754
0,fit,S00755
0,fit,S00756
0,fit,S00757
0,fit,S00758
0,fit,S00759
0,fit,S00760
0,fit,S00762
0,fit,S00763
0,fit,S00764
0,fit,S00765
0,fit,S00766
0,fit,S00767
0,fit,S00768
0,fit,S00769
0,fit,S00771
0,fit,S00774
0,fit,S00775
0,fit,S00776
0,fit,S00778
0,fit,S00779
0,fit,S00780
0,fit,S00783
0,fit,S00784
0,fit,S00785
0,fit,S00786
0,fit,S00789
0,fit,S00790
0,fit,S00791
0,fit,S00792
0,fit,S00794
0,fit,S00796
0,fit,S00797
0,fit,S00798
0,fit,S00799
0,fit,S00800
0,fit,S00801
0,fit,S00802
0,fit,S00803
0,fit,S00804
0,fit,S00806
0,fit,S00807
0,fit,S00808
0,fit,S00809
0,fit,S00810
0,fit,S00812
0,fit,S00813
0,fit,S00814
0,fit,S00815
0,fit,S00816
0,fit,S00817
0,fit,S00818
0,fit,S00819
0,fit,S00820
0,fit,S00822
0,fit,S00823
0,fit,S00824
0,fit,S00825
0,fit,S00828
0,fit,S00829
0,fit,S00830
0,fit,S00831
0,fit,S00832
0,fit,S00833
0,fit,S00835
0,fit,S00836
0,fit,S00837
0,fit,S00838
0,fit,S00840
0,fit,S00841
0,fit,S00843
0,fit,S00845
0,fit,S00846
0,fit,S00847
0,fit,S00848
0,fit,S00849
0,fit,S00850
0,fit,S00852
0,fit,S00853
0,fit,S00854
0,fit,S00855
0,fit,S00856
0,fit,S00857
0,fit,S00858
0,fit,S00859
0,fit,S00860
0,fit,S00861
0,fit,S00862
0,fit,S00863
0,fit,S00864
0,fit,S00865
0,fit,S00868
0,fit,S00869
0,fit,S00870
0,fit,S00871
0,fit,S00872
0,fit,S00873
0,fit,S00874
0,fit,S00875
0,fit,S00876
0,fit,S00878
0,fit,S00880
0,fit,S00881
0,fit,S00882
0,fit,S00884
0,fit,S00885
0,fit,S00886
0,fit,S00887
0,fit,S00888
0,fit,S00889
0,fit,S00890
0,fit,S00891
0,fit,S00892
0,fit,S00894
0,fit,S00895
0,fit,S00896
0,fit,S00899
0,fit,S00900
0,fit,S00901
0,fit,S00902
0,fit,S00903
0,fit,S00904
0,fit,S00905
0,fit,S00907
0,fit,S00908
0,fit,S00909
0,fit,S00911
0,fit,S00912
0,fit,S00913
0,fit,S00915
0,fit,S00916
0,fit,S00917
0,fit,S00918
0,fit,S00919
0,fit,S00921
0,fit,S00922
0,fit,S00924
0,fit,S00925
0,fit,S00926
0,fit,S00927
0,fit,S00928
0,fit,S00929
0,fit,S00930
0,fit,S00932
0,fit,S00933
0,fit,S00934
0,fit,S00936
0,fit,S00937
0,fit,S00938
0,fit,S00939
0,fit,S00943
0,fit,S00946
0,fit,S00948
0,fit,S00949
0,fit,S00950
0,fit,S00951
0,fit,S00952
0,fit,S00953
0,fit,S00954
0,fit,S00955
0,fit,S00956
0,fit,S00958
0,fit,S00959
0,fit,S00960
0,fit,S00961
0,fit,S00962
0,fit,S00963
0,fit,S00964
0,fit,S00965
0,fit,S00966
0,fit,S00969
0,fit,S00971
0,fit,S00973
0,fit,S00974
0,fit,S00975
0,fit,S00976
0,fit,S00977
0,fit,S00978
0,fit,S00979
0,fit,S00980
0,fit,S00982
0,fit,S00983
0,fit,S00984
0,fit,S00985
0,fit,S00987
0,fit,S00988
0,fit,S00989
0,fit,S00990
0,fit,S00991
0,fit,S00993
0,fit,S00995
0,fit,S00997
0,fit,S00998
0,fit,S00999
0,fit,S01000
0,fit,S01001
0,fit,S01002
0,fit,S01003
0,fit,S01004
0,fit,S01005
0,fit,S01009
0,fit,S01010
0,fit,S01011
0,fit,S01012
0,fit,S01013
0,fit,S01014
0,fit,S01016
0,fit,S01018
0,fit,S01019
0,fit,S01020
0,fit,S01021
0,fit,S01023
0,fit,S01024
0,fit,S01026
0,fit,S01027
0,fit,S01028
0,fit,S01029
0,fit,S01030
0,fit,S01031
0,fit,S01034
0,fit,S01035
0,fit,S01036
0,fit,S01037
0,fit,S01038
0,fit,S01039
0,fit,S01041
0,fit,S01042
0,fit,S01043
0,fit,S01044
0,fit,S01048
0,fit,S01049
0,fit,S01051
0,fit,S01052
0,fit,S01053
0,fit,S01054
0,fit,S01055
0,fit,S01056
0,fit,S01058
0,fit,S01059
0,fit,S01061
0,fit,S01062
0,fit,S01064
0,fit,S01065
0,fit,S01066
0,fit,S01067
0,fit,S01068
0,fit,S01069
0,fit,S01070
0,fit,S01072
0,fit,S01074
0,fit,S01075
0,fit,S01076
0,fit,S01077
0,fit,S01078
0,fit,S01079
0,fit,S01080
0,fit,S01082
0,fit,S01083
0,fit,S01084
0,fit,S01085
0,fit,S01086
0,fit,S01087
0,fit,S01088
0,fit,S01089
0,fit,S01090
0,fit,S01092
0,fit,S01093
0,fit,S01094
0,fit,S01095
0,fit,S01097
0,fit,S01098
0,fit,S01099
0,fit,S01100
0,fit,S01101
0,fit,S01102
0,fit,S01103
0,fit,S01104
0,fit,S01105
0,fit,S01106
0,fit,S01108
0,fit,S01109
0,fit,S01110
0,fit,S01112
0,fit,S01113
0,fit,S01114
0,fit,S01115
0,fit,S01116
0,fit,S01117
0,fit,S01118
0,fit,S01119
0,fit,S01120
0,fit,S01122
0,fit,S01123
0,fit,S01124
0,fit,S01125
0,fit,S01126
0,fit,S01128
0,fit,S01130
0,fit,S01131
0,fit,S01132
0,fit,S01136
0,fit,S01138
0,fit,S01139
0,fit,S01140
0,fit,S01141
0,fit,S01142
0,fit,S01143
0,fit,S01145
0,fit,S01146
0,fit,S01148
0,fit,S01150
0,fit,S01151
0,fit,S01152
0,fit,S01154
0,fit,S01155
0,fit,S01156
0,fit,S01157
0,fit,S01158
0,fit,S01159
0,fit,S01160
0,fit,S01161
0,fit,S01162
0,fit,S01164
0,fit,S01165
0,fit,S01167
0,fit,S01168
0,fit,S01170
0,fit,S01171
0,fit,S01172
0,fit,S01173
0,fit,S01174
0,fit,S01175
0,fit,S01176
0,fit,S01177
0,fit,S01178
0,fit,S01180
0,fit,S01181
0,fit,S01182
0,fit,S01183
0,fit,S01184
0,fit,S01185
0,fit,S01186
0,fit,S01187
0,fit,S01188
0,fit,S01189
0,fit,S01190
0,fit,S01191
0,fit,S01192
0,fit,S01194
0,fit,S01195
0,fit,S01196
0,fit,S01197
0,fit,S01198
0,fit,S01199
0,fit,S01200
0,fit,S01201
0,fit,S01202
0,fit,S01203
0,fit,S01204
0,fit,S01205
0,fit,S01206
0,fit,S01207
0,fit,S01208
0,fit,S01210
0,fit,S01211
0,fit,S01212
0,fit,S01213
0,fit,S01214
0,fit,S01215
0,fit,S01218
0,fit,S01221
0,fit,S01222
0,fit,S01223
0,fit,S01224
0,fit,S01225
0,fit,S01228
0,fit,S01229
0,fit,S01230
0,fit,S01231
0,fit,S01232
0,fit,S01233
0,fit,S01234
0,fit,S01235
0,fit,S01236
0,fit,S01238
0,fit,S01239
0,fit,S01241
0,fit,S01242
0,fit,S01244
0,fit,S01245
0,fit,S01246
0,fit,S01247
0,fit,S01248
0,fit,S01251
0,fit,S01254
0,fit,S01255
0,fit,S01256
0,fit,S01257
0,fit,S01259
0,fit,S01260
0,fit,S01261
0,fit,S01262
0,fit,S01263
0,fit,S01264
0,fit,S01265
0,fit,S01267
0,fit,S01268
0,fit,S01269
0,fit,S01270
0,fit,S01271
0,fit,S01273
0,fit,S01274
0,fit,S01275
0,fit,S01276
0,fit,S01277
0,fit,S01278
0,fit,S01279
0,fit,S01280
0,fit,S01281
0,fit,S01282
0,fit,S01284
0,fit,S01285
0,fit,S01286
0,fit,S01287
0,fit,S01288
0,fit,S01289
0,fit,S01290
0,fit,S01291
0,fit,S01292
0,fit,S01293
0,fit,S01294
0,fit,S01295
0,fit,S01296
0,fit,S01297
0,fit,S01298
0,fit,S01299
0,fit,S01300
0,fit,S01301
0,fit,S01303
0,fit,S01304
0,fit,S01305
0,fit,S01306
0,fit,S01307
0,fit,S01308
0,fit,S01309
0,fit,S01310
0,fit,S01311
0,fit,S01312
0,fit,S01313
0,fit,S01314
0,fit,S01315
0,fit,S01316
0,fit,S01317
0,fit,S01318
0,fit,S01320
0,fit,S01321
0,fit,S01322
0,fit,S01323
0,fit,S01324
0,fit,S01325
0,fit,S01326
0,fit,S01327
0,fit,S01329
0,fit,S01330
0,fit,S01332
0,fit,S01334
0,fit,S01335
0,fit,S01337
0,fit,S01338
0,fit,S01340
0,fit,S01341
0,fit,S01342
0,fit,S01344
0,fit,S01345
0,fit,S01346
0,fit,S01347
0,fit,S01348
0,fit,S01349
0,fit,S01350
0,fit,S01352
0,fit,S01353
0,fit,S01354
0,fit,S01355
0,fit,S01357
0,fit,S01358
0,fit,S01360
0,fit,S01361
0,fit,S01363
0,fit,S01364
0,fit,S01365
0,fit,S01366
0,fit,S01367
0,fit,S01368
0,fit,S01369
0,fit,S01370
0,fit,S01371
0,fit,S01372
0,fit,S01373
0,fit,S01374
0,fit,S01375
0,fit,S01376
0,fit,S01378
0,fit,S01379
0,fit,S01380
0,fit,S01381
0,fit,S01383
0,fit,S01384
0,fit,S01385
0,fit,S01388
0,fit,S01389
0,fit,S01390
0,fit,S01391
0,fit,S01393
0,fit,S01394
0,fit,S01395
0,fit,S01396
0,fit,S01397
0,fit,S01398
0,fit,S01399
0,fit,S01400
0,fit,S01401
0,fit,S01402
0,fit,S01404
0,fit,S01405
0,fit,S01406
0,fit,S01408
0,fit,S01409
0,fit,S01410
0,fit,S01411
0,fit,S01412
0,fit,S01413
0,fit,S01414
0,fit,S01415
0,fit,S01416
0,fit,S01418
0,fit,S01419
0,fit,S01420
0,fit,S01421
0,fit,S01422
0,fit,S01424
0,fit,S01425
0,fit,S01426
0,fit,S01427
0,fit,S01428
0,fit,S01429
0,fit,S01430
0,fit,S01431
0,fit,S01432
0,fit,S01434
0,fit,S01435
0,fit,S01436
0,fit,S01437
0,fit,S01440
0,fit,S01441
0,fit,S01443
0,fit,S01445
0,fit,S01446
0,fit,S01448
0,fit,S01450
0,fit,S01451
0,fit,S01452
0,fit,S01453
0,fit,S01456
0,fit,S01457
0,fit,S01459
0,fit,S01460
0,fit,S01461
0,fit,S01462
0,fit,S01463
0,fit,S01465
0,fit,S01466
0,fit,S01467
0,fit,S01468
0,fit,S01469
0,fit,S01470
0,fit,S01471
0,fit,S01473
0,fit,S01474
0,fit,S01475
0,fit,S01477
0,fit,S01478
0,fit,S01480
0,fit,S01481
0,fit,S01484
0,fit,S01486
0,fit,S01487
0,fit,S01488
0,fit,S01490
0,fit,S01491
0,fit,S01492
0,fit,S01494
0,fit,S01497
0,fit,S01498
0,fit,S01499
0,fit,S01500
0,fit,S01501
0,fit,S01502
0,fit,S01503
0,fit,S01504
0,fit,S01506
0,fit,S01507
0,fit,S01508
0,fit,S01509
0,fit,S01511
0,fit,S01512
0,fit,S01514
0,fit,S01515
0,fit,S01517
0,fit,S01518
0,fit,S01519
0,fit,S01520
0,fit,S01521
0,fit,S01522
0,fit,S01524
0,fit,S01525
0,fit,S01526
0,fit,S01527
0,fit,S01528
0,fit,S01529
0,fit,S01530
0,fit,S01531
0,fit,S01532
0,fit,S01535
0,fit,S01536
0,fit,S01537
0,fit,S01538
0,fit,S01539
0,fit,S01540
0,fit,S01541
0,fit,S01542
0,fit,S01543
0,fit,S01544
0,fit,S01546
0,fit,S01547
0,fit,S01548
0,fit,S01549
0,fit,S01550
0,fit,S01551
0,fit,S01553
0,fit,S01554
0,fit,S01555
0,fit,S01556
0,fit,S01557
0,fit,S01558
0,fit,S01560
0,fit,S01561
0,fit,S01562
0,fit,S01563
0,fit,S01564
0,fit,S01565
0,fit,S01566
0,fit,S01567
0,fit,S01569
0,fit,S01570
0,fit,S01571
0,fit,S01572
0,fit,S01573
0,fit,S01574
0,fit,S01575
0,fit,S01577
0,fit,S01579
0,fit,S01580
0,fit,S01581
0,fit,S01583
0,fit,S01584
0,fit,S01586
0,fit,S01587
0,fit,S01589
0,fit,S01590
0,fit,S01592
0,fit,S01593
0,fit,S01594
0,fit,S01595
0,fit,S01596
0,fit,S01597
0,fit,S01598
0,fit,S01599
0,fit,S01600
0,fit,S01603
0,fit,S01606
0,fit,S01607
0,fit,S01608
0,fit,S01609
0,fit,S01610
0,fit,S01611
0,fit,S01612
0,fit,S01615
0,fit,S01616
0,fit,S01617
0,fit,S01618
0,fit,S01619
0,fit,S01620
0,fit,S01621
0,fit,S01623
0,fit,S01624
0,fit,S01625
0,fit,S01626
0,fit,S01627
0,fit,S01629
0,fit,S01630
0,fit,S01631
0,fit,S01634
0,fit,S01635
0,fit,S01636
0,fit,S01638
0,fit,S01640
0,fit,S01641
0,fit,S01642
0,fit,S01644
0,fit,S01645
0,fit,S01646
0,fit,S01647
0,fit,S01648
0,fit,S01649
0,fit,S01650
0,fit,S01651
0,fit,S01654
0,fit,S01655
0,fit,S01656
0,fit,S01657
0,fit,S01658
0,fit,S01659
0,fit,S01660
0,fit,S01662
0,fit,S01664
0,fit,S01665
0,fit,S01666
0,fit,S01667
0,fit,S01668
0,fit,S01669
0,fit,S01670
0,fit,S01671
0,fit,S01672
0,fit,S01673
0,fit,S01674
0,fit,S01675
0,fit,S01676
0,fit,S01677
0,fit,S01679
0,fit,S01680
0,fit,S01681
0,fit,S01682
0,fit,S01683
0,fit,S01684
0,fit,S01685
0,fit,S01686
0,fit,S01688
0,fit,S01689
0,fit,S01693
0,fit,S01694
0,fit,S01695
0,fit,S01696
0,fit,S01697
0,fit,S01698
0,fit,S01699
0,fit,S01700
0,fit,S01701
0,fit,S01703
0,fit,S01704
0,fit,S01705
0,fit,S01706
0,fit,S01709
0,fit,S01710
0,fit,S01712
0,fit,S01713
0,fit,S01714
0,fit,S01715
0,fit,S01716
0,fit,S01717
0,fit,S01719
0,fit,S01721
0,fit,S01722
0,fit,S01724
0,fit,S01725
0,fit,S01726
0,fit,S01728
0,fit,S01729
0,fit,S01730
0,fit,S01731
0,fit,S01732
0,fit,S01733
0,fit,S01734
0,fit,S01735
0,fit,S01736
0,fit,S01737
0,fit,S01738
0,fit,S01739
0,fit,S01741
0,fit,S01744
0,fit,S01745
0,fit,S01747
0,fit,S01748
0,fit,S01750
0,fit,S01751
0,fit,S01753
0,fit,S01754
0,fit,S01758
0,fit,S01759
0,fit,S01762
0,fit,S01764
0,fit,S01766
0,fit,S01767
0,fit,S01768
0,fit,S01769
0,fit,S01770
0,fit,S01771
0,fit,S01772
0,fit,S01774
0,fit,S01775
0,fit,S01776
0,fit,S01777
0,fit,S01778
0,fit,S01779
0,fit,S01780
0,fit,S01781
0,fit,S01783
0,fit,S01784
0,fit,S01785
0,fit,S01786
0,fit,S01787
0,fit,S01788
0,fit,S01790
0,fit,S01791
0,fit,S01792
0,fit,S01793
0,fit,S01794
0,fit,S01795
0,fit,S01796
0,fit,S01797
0,fit,S01798
0,fit,S01799
0,fit,S01801
0,fit,S01802
0,fit,S01803
0,fit,S01805
0,fit,S01806
0,fit,S01808
0,fit,S01809
0,fit,S01811
0,fit,S01812
0,fit,S01813
0,fit,S01814
0,fit,S01818
0,fit,S01819
0,fit,S01820
0,fit,S01821
0,fit,S01822
0,fit,S01823
0,fit,S01824
0,fit,S01825
0,fit,S01826
0,fit,S01827
0,fit,S01829
0,fit,S01830
0,fit,S01831
0,fit,S01832
0,fit,S01834
0,fit,S01836
0,fit,S01838
0,fit,S01839
0,fit,S01840
0,fit,S01841
0,fit,S01842
0,fit,S01843
0,fit,S01844
0,fit,S01845
0,fit,S01846
0,fit,S01848
0,fit,S01849
0,fit,S01850
0,fit,S01851
0,fit,S01852
0,fit,S01854
0,fit,S01855
0,fit,S01856
0,fit,S01857
0,fit,S01858
0,fit,S01859
0,fit,S01860
0,fit,S01861
0,fit,S01862
0,fit,S01864
0,fit,S01865
0,fit,S01866
0,fit,S01867
0,fit,S01868
0,fit,S01869
0,fit,S01870
0,fit,S01872
0,fit,S01874
0,fit,S01875
0,fit,S01876
0,fit,S01877
0,fit,S01878
0,fit,S01879
0,fit,S01880
0,fit,S01881
0,fit,S01882
0,fit,S01884
0,fit,S01885
0,fit,S01886
0,fit,S01888
0,fit,S01890
0,fit,S01891
0,fit,S01892
0,fit,S01893
0,fit,S01894
0,fit,S01896
0,fit,S01897
0,fit,S01898
0,fit,S01900
0,fit,S01901
0,fit,S01902
0,fit,S01903
0,fit,S01905
0,fit,S01906
0,fit,S01907
0,fit,S01908
0,fit,S01909
0,fit,S01910
0,fit,S01911
0,fit,S01912
0,fit,S01914
0,fit,S01915
0,fit,S01916
0,fit,S01917
0,fit,S01918
0,fit,S01919
0,fit,S01920
0,fit,S01921
0,fit,S01923
0,fit,S01924
